Adress_agence,CodePostal_agence,Non_agence,Pays,Price,Tel_agence,Titre_annonce,Ville,m2_total,url
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,900,000",+39 02 8707 8300,Villa,Valsolda ,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141367/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,490,000",+39 02 8707 8300,Villa,Manciano ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141335/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 800,000",+39 02 8707 8300,Apartment,Toscolano-Maderno ,140,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141143/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 850,000",+39 02 8707 8300,Villa,Pino Torinese ,350,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141515/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,800,000",+39 02 8707 8300,Villa,Garbagnate Monastero ,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140895/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,200,000",+39 02 8707 8300,Villa,Biella ,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141177/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Villa,Tradate ,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141613/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Villa,Acquanegra Cremonese ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141555/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 997,000",+39 02 8707 8300,Villa,Favria ,642,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141639/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 8,000,000",+39 02 8707 8300,Villa,Sandrigo ,3000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140701/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 430,000",+39 02 8707 8300,Apartment,Turin ,110,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141313/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,700,000",+39 02 8707 8300,Apartment,Lucca ,690,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141193/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,320,000",+39 02 8707 8300,Villa,Lucca ,500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141579/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 290,000",351282353019,Apartment,Silves ,109,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12170145/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,600,000",+39 02 8707 8300,Villa,Sinalunga ,1015,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17362493/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,120,000",+39 02 8707 8300,Apartment,Como ,220,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141767/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 400,000",+39 02 8707 8300,Apartment,Noli ,100,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140957/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,000,000",+39 02 8707 8300,Apartment,Milan ,350,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141303/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,300,000",+39 02 8707 8300,Villa,Cusano Milanino ,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140741/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,200,000",+39 02 8707 8300,Villa,Gavorrano ,520,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140745/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 950,000",+39 02 8707 8300,Villa,Stimigliano ,420,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140749/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 750,000",+39 02 8707 8300,Villa,Turin ,250,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141049/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,500,000",+39 02 8707 8300,Villa,Verbania ,1300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141253/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 6,000,000",+39 02 8707 8300,Villa,Como ,760,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141747/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 300,000",+39 02 8707 8300,Apartment,Belluno ,120,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141065/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 685,000",+39 02 8707 8300,Villa,Fortunago ,250,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141095/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,500,000",+39 02 8707 8300,Villa,Verbania ,520,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140839/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 530,000",+39 02 8707 8300,Villa,Monte San Savino ,370,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141029/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,000,000",+39 02 8707 8300,Apartment,Florence ,250,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141477/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,600,000",+39 02 8707 8300,Apartment,Milan ,175,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141797/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,800,000",+39 02 8707 8300,Villa,Maiori ,202,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141047/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,950,000",+39 02 8707 8300,Apartment,Preganziol ,400,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140855/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,900,000",+39 02 8707 8300,Villa,Siena ,1300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141073/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,040,000",+39 02 8707 8300,Villa,Santo Stefano Belbo ,550,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141807/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,600,000",+39 02 8707 8300,Villa,Sesto Calende ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141333/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 670,000",+39 02 8707 8300,Apartment,Turin ,170,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141079/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 790,000",+39 02 8707 8300,Villa,Malvicino ,320,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140785/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,050,000",+39 02 8707 8300,Villa,Lorenzana ,354,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141795/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 590,000",+39 02 8707 8300,Apartment,Como ,190,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140815/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 750,000",+39 02 8707 8300,Apartment,Turin ,160,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141533/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 920,000",+39 02 8707 8300,Villa,Turin ,280,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141543/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,580,000",+39 02 8707 8300,Apartment,Porto Cervo ,164,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141879/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 7,000,000",+39 02 8707 8300,Villa,Olbia ,359,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141493/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 599,000",+39 02 8707 8300,Apartment,Rome ,171,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141261/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Apartment,Milan ,230,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141569/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,500,000",+39 02 8707 8300,Villa,Tremezzo ,240,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141083/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 870,000",+39 02 8707 8300,Villa,Castelnuovo Don Bosco ,720,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141435/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 16,000,000",+39 02 8707 8300,Villa,Rome ,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140881/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 270,000",+39 02 8707 8300,Apartment,Cassina Rizzardi ,50,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141265/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 12,500,000",+39 02 8707 8300,Villa,Gaiole in Chianti ,4285,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141155/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,100,000",+39 02 8707 8300,Villa,Lucca ,500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141415/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,200,000",+39 02 8707 8300,Villa,Premeno ,612,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141301/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,760,000",+39 02 8707 8300,Apartment,Milan ,170,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141409/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,000,000",+39 02 8707 8300,Villa,Oliveto Lario ,500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141809/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,800,000",+39 02 8707 8300,Apartment,Milan ,330,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141475/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,110,000",+39 02 8707 8300,Apartment,Peschiera del Garda ,165,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141641/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,150,000",+39 02 8707 8300,Villa,Tagliolo Monferrato ,1350,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141185/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 950,000",+39 02 8707 8300,Apartment,Padua ,230,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140971/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 730,000",+39 02 8707 8300,Apartment,Turin ,200,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141751/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,950,000",+39 02 8707 8300,Villa,Castelletto sopra Ticino ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141161/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 7,200,000",+39 02 8707 8300,Villa,Florence ,1385,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140897/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 14,000,000",+39 02 8707 8300,Villa,Montaione ,15655,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141443/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,950,000",+39 02 8707 8300,Apartment,Montespertoli ,1350,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141093/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,500,000",+39 02 8707 8300,Villa,Monte San Savino ,1200,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140875/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 850,000",+39 02 8707 8300,Villa,Manciano ,180,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141453/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,850,000",+39 02 8707 8300,Villa,Radicondoli ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141151/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,800,000",+39 02 8707 8300,Villa,Castelnuovo Berardenga ,240,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141805/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 250,000",+39 02 8707 8300,Apartment,Turin ,60,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17202647/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,400,000",+39 02 8707 8300,Villa,Greve in Chianti ,1200,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140717/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,650,000",+39 02 8707 8300,Villa,Padenghe Sul Garda ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140859/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,500,000",+39 02 8707 8300,Villa,Turin ,600,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140977/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,600,000",+39 02 8707 8300,Villa,Capoliveri ,300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141015/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,700,000",+39 02 8707 8300,Villa,Turin ,330,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141721/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 3,200,000",34684458333,Seaside villa with pool,Marbella ,1262,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/14542171/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,090,000",+39 02 8707 8300,Apartment,Turin ,130,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141511/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,800,000",+39 02 8707 8300,Villa,Pistoia ,600,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141123/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 730,000",+39 02 8707 8300,Apartment,Belluno ,220,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141467/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,000,000",+39 02 8707 8300,Apartment,Conegliano ,210,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140959/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Villa,Lucca ,490,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140799/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 11,500,000",+39 02 8707 8300,Villa,Carate Urio ,800,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140985/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 485,000",+39 02 8707 8300,Apartment,Scansano ,190,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140767/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,800,000",+39 02 8707 8300,Villa,Meina ,765,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141277/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,500,000",+39 02 8707 8300,Villa,Pré-Saint-Didier ,350,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141215/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,950,000",+39 02 8707 8300,Villa,Acqui Terme ,790,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140689/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 8,000,000",+39 02 8707 8300,Villa,Radda in Chianti ,1380,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141385/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,500,000",+39 02 8707 8300,Villa,Cumiana ,4470,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140727/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 780,000",+39 02 8707 8300,Apartment,Chieri ,300,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141459/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,900,000",+39 02 8707 8300,Villa,Pavia ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141039/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,400,000",+39 02 8707 8300,Apartment,Milan ,350,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141023/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,500,000",+39 02 8707 8300,Villa,Cesano Maderno ,1250,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141181/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 20,000,000",+39 02 8707 8300,Villa,Como ,1180,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141601/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 695,000",+39 02 8707 8300,Apartment,Turin ,205,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141419/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 690,000",+39 02 8707 8300,Villa,Castelnovetto ,2000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140969/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 9,400,000",+39 02 8707 8300,Villa,Cetona ,1200,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140771/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 990,000",+39 02 8707 8300,Villa,Ponzano Monferrato ,450,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141571/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 12,500,000",+39 02 8707 8300,Villa,Robbio ,1300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141895/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 460,000",+39 02 8707 8300,Apartment,Fino Mornasco ,170,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141401/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,000,000",+39 02 8707 8300,Villa,Verano Brianza ,1080,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141697/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 350,000",+39 02 8707 8300,Apartment,Toscolano-Maderno ,75,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141461/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,250,000",+39 02 8707 8300,Villa,Montalcino ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140945/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,700,000",+39 02 8707 8300,Apartment,Florence ,190,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141431/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,500,000",+39 02 8707 8300,Villa,Lucca ,760,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140867/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 300,000",+39 02 8707 8300,Apartment,Belluno ,135,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140721/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Villa,Biella ,1800,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141099/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,200,000",+39 02 8707 8300,Villa,Francavilla Bisio ,4000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17140905/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 420,000",+39 02 8707 8300,Apartment,Diano Marina ,65,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141287/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,175,000",+39 02 8707 8300,Apartment,Blevio ,203,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140755/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,300,000",+39 02 8707 8300,Apartment,Florence ,290,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141633/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,900,000",+39 02 8707 8300,Villa,Lastra a Signa ,750,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141457/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,450,000",+39 02 8707 8300,Villa,Città di Castello ,830,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141433/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,700,000",+39 02 8707 8300,Villa,Turin ,1400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141551/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 670,000",+39 02 8707 8300,Villa,Montecarlo ,300,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141881/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,800,000",+39 02 8707 8300,Apartment,Alassio ,180,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17140817/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,500,000",+39 02 8707 8300,Villa,Rome ,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141539/
